file,width,height,size
543.jpg,981.0,890.0,873090.0
544.jpg,900.0,1082.0,973800.0
545.jpg,918.0,1300.0,1193400.0
546.jpg,1574.0,685.0,1078190.0
547.jpg,1323.0,550.0,727650.0
548.jpg,787.0,1150.0,905050.0
549.jpg,1507.0,650.0,979550.0
550.jpg,936.0,774.0,724464.0
551.jpg,802.0,966.0,774732.0
552.jpg,908.0,900.0,817200.0
553.jpg,1054.0,800.0,843200.0
554.jpg,900.0,1141.0,1026900.0
555.jpg,900.0,1154.0,1038600.0
556.jpg,900.0,1276.0,1148400.0
557.jpg,900.0,1086.0,977400.0
558.jpg,1045.0,900.0,940500.0
559.jpg,1030.0,770.0,793100.0
560.jpg,1448.0,945.0,1368360.0
562.jpg,856.0,1300.0,1112800.0
563.jpg,791.0,1020.0,806820.0
564.jpg,800.0,1171.0,936800.0
565.jpg,787.0,1200.0,944400.0
566.jpg,784.0,1200.0,940800.0
567.jpg,1057.0,800.0,845600.0
568.jpg,760.0,1200.0,912000.0
569.jpg,756.0,1200.0,907200.0
570.jpg,777.0,1200.0,932400.0
571.jpg,766.0,1200.0,919200.0
572.jpg,773.0,1200.0,927600.0
573.jpg,1015.0,880.0,893200.0
574.jpg,1039.0,829.0,861331.0
575.jpg,817.0,1250.0,1021250.0
576.jpg,772.0,1250.0,965000.0
577.jpg,1100.0,1239.0,1362900.0
578.jpg,1000.0,1259.0,1259000.0
579.jpg,1153.0,900.0,1037700.0
580.jpg,896.0,870.0,779520.0
581.jpg,1125.0,1500.0,1687500.0
582.jpg,780.0,990.0,772200.0
583.jpg,800.0,1432.0,1145600.0
584.jpg,1000.0,1039.0,1039000.0
585.jpg,950.0,1178.0,1119100.0
586.jpg,880.0,1217.0,1070960.0
587.jpg,964.0,1300.0,1253200.0
589.jpg,598.0,864.0,516672.0
590.jpg,997.0,801.0,798597.0
592.jpg,900.0,1296.0,1166400.0
593.jpg,850.0,1167.0,991950.0
594.jpg,900.0,1042.0,937800.0
595.jpg,1283.0,1500.0,1924500.0
596.jpg,840.0,1100.0,924000.0
597.jpg,1000.0,1291.0,1291000.0
598.jpg,750.0,996.0,747000.0
